run_id,timestamp_start,timestamp_end,stage,selector_name,backend_name,candidate_pool_size_m,budget_k,depth_p,dataset_manifest_path,config_path,command,solver_name,solver_version,python_version,machine_id,git_commit_or_snapshot,stdout_log_path,stderr_log_path,raw_result_path,status
P5_root_scip_scip_ensemble_external_unseen_test_20260310_205202_818209,2026-03-10T20:52:02.818209,2026-03-10T20:52:03.652922,root,scip-scip_ensemble,scip-cutsel,,,,MANIFEST_ROOT/external_unseen_confirmatory140_resource_matched_v1_manifest_shard_01.csv,,python scripts/run_root_cutsel_experiment.py,SCIP,,3.13.9,REDACTED,,,,RESULT_ROOT/external_unseen_confirmatory140_resource_matched_v1_results_shard_01.jsonl,ok
P5_root_scip_default_external_unseen_test_20260310_205203_653169,2026-03-10T20:52:03.653169,2026-03-10T20:52:04.012721,root,scip-default,scip-cutsel,,,,MANIFEST_ROOT/external_unseen_confirmatory140_resource_matched_v1_manifest_shard_01.csv,,python scripts/run_root_cutsel_experiment.py,SCIP,,3.13.9,REDACTED,,,,RESULT_ROOT/external_unseen_confirmatory140_resource_matched_v1_results_shard_01.jsonl,ok
P5_root_scip_efficacy_external_unseen_test_20260310_205204_012933,2026-03-10T20:52:04.012933,2026-03-10T20:52:04.184954,root,scip-efficacy,scip-cutsel,,,,MANIFEST_ROOT/external_unseen_confirmatory140_resource_matched_v1_manifest_shard_01.csv,,python scripts/run_root_cutsel_experiment.py,SCIP,,3.13.9,REDACTED,,,,RESULT_ROOT/external_unseen_confirmatory140_resource_matched_v1_results_shard_01.jsonl,ok
P5_root_scip_raise_cut_external_unseen_test_20260310_205204_185128,2026-03-10T20:52:04.185128,2026-03-10T20:52:04.483361,root,scip-raise_cut,scip-cutsel,,,,MANIFEST_ROOT/external_unseen_confirmatory140_resource_matched_v1_manifest_shard_01.csv,,python scripts/run_root_cutsel_experiment.py,SCIP,,3.13.9,REDACTED,,,,RESULT_ROOT/external_unseen_confirmatory140_resource_matched_v1_results_shard_01.jsonl,ok
P5_root_scip_raise_portfolio_external_unseen_test_20260310_205204_483522,2026-03-10T20:52:04.483522,2026-03-10T20:52:04.840257,root,scip-raise_portfolio,scip-cutsel,,,,MANIFEST_ROOT/external_unseen_confirmatory140_resource_matched_v1_manifest_shard_01.csv,,python scripts/run_root_cutsel_experiment.py,SCIP,,3.13.9,REDACTED,,,,RESULT_ROOT/external_unseen_confirmatory140_resource_matched_v1_results_shard_01.jsonl,ok
P5_root_scip_raise_portfolio_rc_external_unseen_test_20260310_205204_840421,2026-03-10T20:52:04.840421,2026-03-10T20:52:05.199963,root,scip-raise_portfolio_rc,scip-cutsel,,,,MANIFEST_ROOT/external_unseen_confirmatory140_resource_matched_v1_manifest_shard_01.csv,,python scripts/run_root_cutsel_experiment.py,SCIP,,3.13.9,REDACTED,,,,RESULT_ROOT/external_unseen_confirmatory140_resource_matched_v1_results_shard_01.jsonl,ok
P5_root_scip_scip_ensemble_external_unseen_test_20260310_205205_200144,2026-03-10T20:52:05.200144,2026-03-10T20:52:05.558147,root,scip-scip_ensemble,scip-cutsel,,,,MANIFEST_ROOT/external_unseen_confirmatory140_resource_matched_v1_manifest_shard_01.csv,,python scripts/run_root_cutsel_experiment.py,SCIP,,3.13.9,REDACTED,,,,RESULT_ROOT/external_unseen_confirmatory140_resource_matched_v1_results_shard_01.jsonl,ok
P5_root_scip_default_external_unseen_test_20260310_205205_558460,2026-03-10T20:52:05.558460,2026-03-10T20:52:05.868134,root,scip-default,scip-cutsel,,,,MANIFEST_ROOT/external_unseen_confirmatory140_resource_matched_v1_manifest_shard_01.csv,,python scripts/run_root_cutsel_experiment.py,SCIP,,3.13.9,REDACTED,,,,RESULT_ROOT/external_unseen_confirmatory140_resource_matched_v1_results_shard_01.jsonl,ok
P5_root_scip_efficacy_external_unseen_test_20260310_205205_868325,2026-03-10T20:52:05.868325,2026-03-10T20:52:06.073423,root,scip-efficacy,scip-cutsel,,,,MANIFEST_ROOT/external_unseen_confirmatory140_resource_matched_v1_manifest_shard_01.csv,,python scripts/run_root_cutsel_experiment.py,SCIP,,3.13.9,REDACTED,,,,RESULT_ROOT/external_unseen_confirmatory140_resource_matched_v1_results_shard_01.jsonl,ok
P5_root_scip_raise_cut_external_unseen_test_20260310_205206_073682,2026-03-10T20:52:06.073682,2026-03-10T20:52:06.303665,root,scip-raise_cut,scip-cutsel,,,,MANIFEST_ROOT/external_unseen_confirmatory140_resource_matched_v1_manifest_shard_01.csv,,python scripts/run_root_cutsel_experiment.py,SCIP,,3.13.9,REDACTED,,,,RESULT_ROOT/external_unseen_confirmatory140_resource_matched_v1_results_shard_01.jsonl,ok
P5_root_scip_raise_portfolio_external_unseen_test_20260310_205206_303967,2026-03-10T20:52:06.303967,2026-03-10T20:52:06.600068,root,scip-raise_portfolio,scip-cutsel,,,,MANIFEST_ROOT/external_unseen_confirmatory140_resource_matched_v1_manifest_shard_01.csv,,python scripts/run_root_cutsel_experiment.py,SCIP,,3.13.9,REDACTED,,,,RESULT_ROOT/external_unseen_confirmatory140_resource_matched_v1_results_shard_01.jsonl,ok
P5_root_scip_raise_portfolio_rc_external_unseen_test_20260310_205206_600240,2026-03-10T20:52:06.600240,2026-03-10T20:52:06.907197,root,scip-raise_portfolio_rc,scip-cutsel,,,,MANIFEST_ROOT/external_unseen_confirmatory140_resource_matched_v1_manifest_shard_01.csv,,python scripts/run_root_cutsel_experiment.py,SCIP,,3.13.9,REDACTED,,,,RESULT_ROOT/external_unseen_confirmatory140_resource_matched_v1_results_shard_01.jsonl,ok
P5_root_scip_scip_ensemble_external_unseen_test_20260310_205206_907515,2026-03-10T20:52:06.907515,2026-03-10T20:52:07.226382,root,scip-scip_ensemble,scip-cutsel,,,,MANIFEST_ROOT/external_unseen_confirmatory140_resource_matched_v1_manifest_shard_01.csv,,python scripts/run_root_cutsel_experiment.py,SCIP,,3.13.9,REDACTED,,,,RESULT_ROOT/external_unseen_confirmatory140_resource_matched_v1_results_shard_01.jsonl,ok
P5_root_scip_default_external_unseen_test_20260310_205207_226657,2026-03-10T20:52:07.226657,2026-03-10T20:52:07.453063,root,scip-default,scip-cutsel,,,,MANIFEST_ROOT/external_unseen_confirmatory140_resource_matched_v1_manifest_shard_01.csv,,python scripts/run_root_cutsel_experiment.py,SCIP,,3.13.9,REDACTED,,,,RESULT_ROOT/external_unseen_confirmatory140_resource_matched_v1_results_shard_01.jsonl,ok
P5_root_scip_efficacy_external_unseen_test_20260310_205207_453244,2026-03-10T20:52:07.453244,2026-03-10T20:52:07.776328,root,scip-efficacy,scip-cutsel,,,,MANIFEST_ROOT/external_unseen_confirmatory140_resource_matched_v1_manifest_shard_01.csv,,python scripts/run_root_cutsel_experiment.py,SCIP,,3.13.9,REDACTED,,,,RESULT_ROOT/external_unseen_confirmatory140_resource_matched_v1_results_shard_01.jsonl,ok
P5_root_scip_raise_cut_external_unseen_test_20260310_205207_776516,2026-03-10T20:52:07.776516,2026-03-10T20:52:08.121157,root,scip-raise_cut,scip-cutsel,,,,MANIFEST_ROOT/external_unseen_confirmatory140_resource_matched_v1_manifest_shard_01.csv,,python scripts/run_root_cutsel_experiment.py,SCIP,,3.13.9,REDACTED,,,,RESULT_ROOT/external_unseen_confirmatory140_resource_matched_v1_results_shard_01.jsonl,ok
P5_root_scip_raise_portfolio_external_unseen_test_20260310_205208_121318,2026-03-10T20:52:08.121318,2026-03-10T20:52:08.596873,root,scip-raise_portfolio,scip-cutsel,,,,MANIFEST_ROOT/external_unseen_confirmatory140_resource_matched_v1_manifest_shard_01.csv,,python scripts/run_root_cutsel_experiment.py,SCIP,,3.13.9,REDACTED,,,,RESULT_ROOT/external_unseen_confirmatory140_resource_matched_v1_results_shard_01.jsonl,ok
P5_root_scip_raise_portfolio_rc_external_unseen_test_20260310_205208_597038,2026-03-10T20:52:08.597038,2026-03-10T20:52:09.072462,root,scip-raise_portfolio_rc,scip-cutsel,,,,MANIFEST_ROOT/external_unseen_confirmatory140_resource_matched_v1_manifest_shard_01.csv,,python scripts/run_root_cutsel_experiment.py,SCIP,,3.13.9,REDACTED,,,,RESULT_ROOT/external_unseen_confirmatory140_resource_matched_v1_results_shard_01.jsonl,ok
